-4.2	-7.2	-8.6	-10.1	-12.8	-15.4	-21.4	-26.9
-4.4	-7.5	-8.1	-9.3	-11.8	-14.3	-20.1	-25.4
-3.2	-5.4	-6.5	-7.6	-9.8	-11.7	-16.5	-21.1
-2.6	-4.2	-4.7	-5.5	-7.1	-8.4	-11.9	-15.2
-2.1	-2.5	-3.1	-3.3	-4.1	-4.8	-6.7	-8.5
-1	-1	-1	-1	-1	-1	-1	-1
0.1	0.6	1.1	1.4	2.2	3.1	5.3	7.1
0.6	2.2	3	4	5.7	7.5	12.4	17.2
1.2	3.8	5.2	6.7	9.3	12.2	20.5	30.5
2.4	5.5	7	8.8	12.6	16.6	28.2	43
2.4	6	7.9	9.9	14.1	18.6	32	44
2.4	5.5	7.3	8.9	12.8	16.9	28.8	44
1.2	4.1	5.2	6.7	9.6	12.6	21.1	31.4
0.6	2.2	3.2	4	5.7	7.7	12.8	18.6
0.1	0.6	1.1	1.4	2.2	3.1	5.4	7.9
-1	-1	-1	-1	-1	-1	-1	-1
-2.1	-2.5	-3.1	-3.3	-4.1	-4.8	-6.7	-8.6
-2.6	-3.9	-4.7	-5.5	-6.9	-8.4	-11.8	-15.2
-3.2	-5.4	-6.5	-7.6	-9.7	-11.7	-16.4	-21
-4.4	-5.9	-8.1	-9.3	-11.8	-14.3	-20	-25.2
-4.2	-7.2	-8.6	-10.1	-12.8	-15.4	-21.4	-26.9
