3.3	-0.1	-1.8	-3.4	-6.5	-9.4	-16.1	-22.2
3.3	-0.1	-1.6	-3.1	-6.2	-9	-15.4	-21.2
4.1	1.5	0.1	-1.1	-3.6	-5.9	-11.3	-16.2
4.9	3.3	2.5	1.7	-0.1	-1.7	-5.5	-9.1
5.9	5.4	4.8	4.4	3.6	2.7	0.7	-1.2
7	7	7	7	7	7	7	7
8.1	8.6	9.1	9.5	10.4	11.3	13.5	15.9
8.6	10.5	11.2	12.1	13.9	15.8	20.7	26.1
9.2	12.1	13.6	15	17.7	20.8	29	38.7
10.4	13.8	15.9	17.8	21.7	26.1	38.6	44
11	15.2	17.5	19.8	24.9	30.4	44	44
11	15	17.2	19.6	24.8	30.3	44	44
9.9	13.2	15.1	16.9	20.8	25	37.4	44
9.1	11	12.1	13.3	15.6	18	25.1	33.6
8.1	9.1	9.4	9.9	10.9	12	14.9	18.2
7	7	7	7	7	7	7	7
5.9	5.4	4.9	4.5	3.7	2.8	0.7	-1.6
5.4	3.8	3	2.2	0.6	-0.9	-4.8	-8.6
4.8	2.2	1.1	0	-2.2	-4.4	-9.6	-14.6
3.6	0.5	-0.7	-2.2	-4.7	-7.5	-13.7	-19.5
3.3	-0.1	-1.8	-3.4	-6.5	-9.4	-16.1	-22.2
