3.2	-0.4	-2.1	-3.8	-7.1	-10.3	-17.6	-24.5
3	-1	-2.9	-4.7	-8.1	-11.4	-18.6	-25.2
3	-0.3	-2.1	-3.7	-6.8	-9.6	-16	-21.5
4.6	1.9	0.7	-0.4	-2.5	-4.5	-9.1	-13.1
5.8	4.7	4.1	3.6	2.5	1.6	-0.7	-2.9
7	7	7	7	7	7	7	7
8.1	9.1	9.4	9.9	10.8	11.7	14	16.2
8.6	10.5	11.5	12.3	14.2	16	20.7	25.5
9.2	12.1	13.6	14.7	17.6	20.2	27.6	35.7
10.4	13.8	15.6	17.2	20.9	24.9	35.7	44
11	15.3	17.5	19.8	24.7	30	44	44
11.6	16.5	19	21.8	27.7	34.4	44	44
11.4	15.8	18.4	21	26.9	33.4	38.7	38.7
9.9	13.1	14.7	16.5	20.3	23.7	23.7	23.7
8.3	9.6	10.4	11.1	12.7	14.4	14.5	14.5
7	7	7	7	7	7	7	7
5.9	4.9	4.5	4	2.9	1.8	-0.5	-0.5
5.4	3.5	2.5	1.7	-0.2	-2.1	-6.8	-9.7
4.8	1.9	0.8	-0.3	-2.8	-5.1	-11.3	-17.3
3.6	0.5	-0.7	-2.2	-5.3	-8	-14.9	-21.5
3.2	-0.4	-2.1	-3.8	-7.1	-10.3	-17.6	-24.5
