-25.4	-27.7	-28.9	-30	-32.3	-34.5	-39.8	-45
-26.4	-27.6	-29.5	-30.1	-32.2	-34.4	-39.4	-44.3
-25.2	-27	-28.1	-29.2	-31.1	-32.9	-37.3	-41.4
-24.6	-26.2	-26.7	-27.5	-28.9	-30.2	-33.4	-36.4
-24.1	-24.6	-25.1	-25.3	-26	-26.7	-28.4	-30
-23	-23	-23	-23	-23	-23	-23	-23
-21.9	-21.6	-21.4	-20.9	-20.2	-19.5	-17.8	-16.2
-21.4	-20.6	-19.8	-19	-17.7	-16.4	-13.1	-9.7
-20.8	-19	-18.6	-17.5	-15.7	-13.8	-8.8	-3.5
-19.6	-18.4	-18.1	-16.2	-13.8	-11.3	-4.9	2.1
-20.5	-18	-16.7	-15.3	-12.6	-9.7	-2	6.9
-19.6	-18.1	-16.5	-15	-12.2	-9.2	-0.8	9.4
-20.8	-18.6	-17.2	-16	-13.2	-10.5	-2.5	7.3
-21.4	-19.5	-18.7	-17.7	-15.9	-13.8	-7.9	-0.7
-21.9	-21.4	-20.9	-20.4	-19.4	-18.4	-15.5	-12.1
-23	-23	-23	-23	-23	-23	-23	-23
-24.1	-24.5	-25.1	-25.2	-26.1	-26.9	-29.1	-31.5
-24.6	-25.9	-26.5	-27	-28.6	-29.9	-33.6	-37.5
-25.2	-26.3	-27.4	-28.5	-30.3	-32.1	-36.8	-41.6
-26.4	-27.3	-27.9	-29.5	-31.6	-33.8	-39	-44.2
-25.4	-27.7	-28.9	-30	-32.3	-34.5	-39.8	-45
