9	9	9	9	9	9	9	9
7.8	6.6	6	5.5	4.5	3.6	1.4	-0.6
6.6	4.5	3.4	2.3	0.3	-1.5	-5.7	-9.4
6.1	3.1	1.7	0.3	-2	-4.6	-10.2	-15.3
5.6	2.5	1.3	-0.2	-3	-5.5	-12	-18
6	3.1	1.7	0.2	-2.6	-5.3	-12	-18.6
5.6	4.1	2.2	1	-1.8	-4.3	-11	-17.7
6.8	4.6	3.2	2.1	-0.2	-2.7	-8.9	-15.5
7.4	5.5	4.5	3.7	1.6	-0.3	-5.6	-11.5
7.9	6.9	6.3	5.8	4.6	3.3	-0.2	-3.7
9	9	9	9	9	9	9	9
10.3	11.8	12.6	13.4	15.1	17.1	21.6	21.6
11.4	14.3	15.9	17.5	20.9	24.7	36.5	37.4
12.3	15.6	17.7	19.6	23.5	28	41.2	44
12.4	15.8	17.6	19.5	23.4	27.5	39.2	44
12.1	15.3	16.9	18.5	22	25.5	35.1	44
12.4	13.9	15.8	17.3	20.1	23.1	30.8	39
11.2	13.4	14.8	15.9	18.1	20.4	26.2	32.1
10.6	12.5	13.2	14.1	15.7	17.3	21.3	25.2
10.1	11.1	11.4	11.9	12.7	13.6	15.7	17.7
9	9	9	9	9	9	9	9
