PARAMS	30																
EPOCHS	17																
Stimulus.stimtype	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28
Stimulus.lum	0	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75
Stimulus.contrast	0	-0.33	-0.33	-0.33	-0.33	-0.33	-0.33	-0.33	-0.33	-0.33	-0.33	-0.33	-0.33	-0.33	-0.33	-0.33	-0.33
Stimulus.duration	0	18	18	18	18	9	9	9	9	1.8	1.8	1.8	1.8	0.9	0.9	0.9	0.9
Stimulus.transgain	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Stimulus.rotgain	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Stimulus.trans.mean	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Stimulus.trans.amp	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Stimulus.trans.per	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Stimulus.trans.phase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Stimulus.rot.mean	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Stimulus.rot.amp	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Stimulus.rot.per	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Stimulus.rot.phase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Stimulus.stimtrans.mean	-20	-10	-10	-10	-10	-20	-20	-20	-20	-100	-100	-100	-100	-200	-200	-200	-200
Stimulus.stimtrans.amp	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Stimulus.stimtrans.per	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Stimulus.stimtrans.phase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Stimulus.stimrot.mean	0	0	180	90	270	0	180	90	270	0	180	90	270	0	180	90	270
Stimulus.stimrot.amp	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Stimulus.stimrot.per	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Stimulus.stimrot.phase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Stimulus.spacing	9.5	9.5	9.5	9.5	9.5	9.5	9.5	9.5	9.5	9.5	9.5	9.5	9.5	9.5	9.5	9.5	9.5
Stimulus.density	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
Stimulus.tau	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
Stimulus.arenasize	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
Stimulus.arenaheight	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30
Stimulus.tau2	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4
Stimulus.randomize	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
Stimulus.spacing2	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5
